Health: 191.000000, Speed: 0.629365, Firerate: 3.295770
Health: 200.000000, Speed: 0.360230, Firerate: 3.692096
Health: 200.000000, Speed: 0.352722, Firerate: 3.295770
Health: 184.000000, Speed: 0.409197, Firerate: 3.884384
Health: 184.000000, Speed: 0.445560, Firerate: 3.372228
Health: 156.000000, Speed: 0.429965, Firerate: 3.739201
Health: 183.000000, Speed: 0.552626, Firerate: 3.569985
Health: 200.000000, Speed: 0.406374, Firerate: 2.278296
Health: 170.000000, Speed: 0.379731, Firerate: 4.000000
Health: 198.000000, Speed: 0.343796, Firerate: 3.295770
Health: 183.000000, Speed: 0.396745, Firerate: 4.000000
Health: 150.000000, Speed: 0.481968, Firerate: 1.904059
Health: 186.000000, Speed: 0.402864, Firerate: 3.295770
Health: 184.000000, Speed: 0.429919, Firerate: 3.182611
Health: 182.000000, Speed: 0.337127, Firerate: 3.838966
Health: 177.000000, Speed: 0.368104, Firerate: 3.295770
Health: 179.000000, Speed: 0.388490, Firerate: 3.521983
Health: 175.000000, Speed: 0.423739, Firerate: 3.151848
Health: 196.000000, Speed: 0.327728, Firerate: 1.627259
Health: 172.000000, Speed: 0.496937, Firerate: 3.445482
Health: 170.000000, Speed: 0.599716, Firerate: 3.295770
Health: 199.000000, Speed: 0.442050, Firerate: 3.826704
Health: 169.000000, Speed: 0.440478, Firerate: 3.295770
Health: 200.000000, Speed: 0.396646, Firerate: 3.917496
Health: 198.000000, Speed: 0.342041, Firerate: 3.295770
Health: 198.000000, Speed: 0.456081, Firerate: 3.105319
Health: 175.000000, Speed: 0.430224, Firerate: 3.804444
Health: 182.000000, Speed: 0.411043, Firerate: 3.539757
Health: 194.000000, Speed: 0.417071, Firerate: 3.688827
Health: 196.000000, Speed: 0.442141, Firerate: 3.345909
Health: 169.000000, Speed: 0.442370, Firerate: 3.512818
Health: 173.000000, Speed: 0.376176, Firerate: 3.230805
Health: 175.000000, Speed: 0.412378, Firerate: 3.295770
Health: 159.000000, Speed: 0.367173, Firerate: 4.000000
Health: 184.000000, Speed: 0.361275, Firerate: 3.958599
Health: 199.000000, Speed: 0.378526, Firerate: 2.413095
Health: 186.000000, Speed: 0.333175, Firerate: 3.452809
Health: 191.000000, Speed: 0.393373, Firerate: 3.464217
Health: 152.000000, Speed: 0.416155, Firerate: 3.220423
Health: 200.000000, Speed: 0.406786, Firerate: 2.704593
Health: 177.000000, Speed: 0.392000, Firerate: 3.295770
Health: 200.000000, Speed: 0.427927, Firerate: 3.991668
Health: 182.000000, Speed: 0.355179, Firerate: 3.609272
Health: 168.000000, Speed: 0.446902, Firerate: 3.074877
Health: 200.000000, Speed: 0.430499, Firerate: 2.897800
Health: 187.000000, Speed: 0.281217, Firerate: 3.047426
